company_code,report_period,split,mkt_market_cap,mkt_log_market_cap,mkt_pe_ratio,mkt_pb_ratio,mkt_market_cap_qoq,mkt_pe_change_qoq,mkt_pb_change_qoq,mkt_cap_industry_zscore,mkt_pb_industry_zscore,mkt_return_5d,mkt_return_20d,mkt_return_60d,mkt_excess_return_20d,mkt_volatility_20d,mkt_volatility_60d,mkt_max_drawdown_60d,mkt_extreme_down_days_20d,mkt_volume_ratio_20d,mkt_amount_ratio_20d,mkt_volume_cv_20d,mkt_amount_cv_20d,mkt_abnormal_volume_days_20d,mkt_zero_volume_days_20d,mkt_amihud_illiquidity_20d,mkt_financing_balance,mkt_securities_balance,mkt_margin_total_balance,mkt_financing_balance_change,mkt_institutional_holding_ratio,mkt_institutional_holding_change,mkt_institutional_holder_count,mkt_risk_warning_count_30d,mkt_risk_warning_count_90d,mkt_risk_warning_flag_30d,mkt_days_since_last_risk_warning
000004.SZ,20200331,Train,5035755588.75,22.3398294193356,-182.3216,3.6582,-0.0098622696198841,-0.0067999999999983,-0.0245000000000001,-0.6491582977803013,-0.5435284095587011,-0.0782472699495996,-0.2787236396750222,0.3529921690071369,-0.1913427394872008,0.0303021952935409,0.050293117174101,-0.3185171777505113,2.0,0.4055609948304831,0.3271564495707628,0.5116250119251688,0.6211339423553026,2.0,0.0,0.0001403374783161,264901562.5,1649105.5,272591017.5,-0.004643982938823,103.914338,-0.1361910000000037,12.0,0,0,0,220.0
000004.SZ,20200630,Train,4925170330.0,22.317624695947035,656.200337,3.5281,-0.0219600131104555,826.6884600000017,-0.1301000000000001,-0.6106912935643866,-0.7778819784223849,0.0219175742233206,0.033239356099658,-0.0321130087910497,-0.0448666693191435,0.0254702447571051,0.0357471498998195,-0.2141790578529133,0.0,1.6707959188625698,1.699573345254067,0.5762435549223612,0.5995082988147475,2.0,0.0,0.0002116832783299,264901562.5,1649105.5,272591017.5,-0.004643982938823,108.906284,4.991945999999999,19.0,0,0,0,220.0
000004.SZ,20200930,Train,3811065111.25,22.06117454403724,501.9323,2.7324,-0.2262064343163539,-841.786724,-0.7956999999999996,-0.5740187546096872,-0.7799785170479031,-0.0253269574589645,-0.064426295255062,-0.2646500422865381,-0.0048203832821467,0.0284970221370861,0.0305179424394868,-0.3404697821739311,0.0,0.5652920465549871,0.5485618501287383,0.657280353109351,0.6892662287257282,2.0,0.0,0.0003612016867606,264901562.5,1649105.5,272591017.5,-0.004643982938823,94.007423,-14.898860999999997,12.0,0,0,0,220.0
000004.SZ,20201231,Train,3416589337.5,21.95190862097245,48.4751,2.3569,-0.1035080121264616,-453.4572,-0.3755000000000001,-0.5479398920683792,-0.6679739539841442,-0.0469615474600563,-0.2162065518930153,-0.1035088573161986,-0.1762737539942553,0.0312824345063184,0.0367510971382061,-0.3730847529135045,2.0,0.6667039356467758,0.5880429385809948,0.4476366049347232,0.4915427792862749,2.0,0.0,0.0002369213347385,264901562.5,1649105.5,272591017.5,-0.004643982938823,93.306507,-0.7009160000000065,16.0,0,0,0,220.0
000004.SZ,20210331,Train,2820749361.25,21.76026841789045,40.0212,1.9459,-0.1743961352657005,-8.453899999999997,-0.411,-0.5842375122590832,-0.7476176521595292,-0.0144180848852368,-0.0904728303434955,-0.1727955638230554,-0.0921515364685617,0.0191120126129036,0.0286883773226457,-0.2069446425633365,0.0,0.6702436415169702,0.6473369960824271,0.2787678332065699,0.3058692086639257,2.0,0.0,0.000529789949557,264901562.5,1649105.5,272591017.5,-0.004643982938823,69.475588,-23.830918999999994,11.0,0,0,0,220.0
000004.SZ,20210630,Train,3063376720.0,21.84278364809293,47.0518,2.0966,0.0860152135751901,7.0306,0.1507,-0.5949825442368792,-0.8575767968107487,-0.0626270378165917,0.1614522231061297,0.0860152302405177,0.1109642738486769,0.0601784979937099,0.0410169878520759,-0.2447871852503268,3.0,0.4888206339175933,0.4594105346431688,0.4922320819189144,0.5507307841295435,1.0,0.0,0.0003082862836083,264901562.5,1649105.5,272591017.5,-0.004643982938823,64.602033,-4.873554999999996,13.0,1,1,1,23.0
000004.SZ,20210930,Train,2960937433.48,21.80877175598109,43.4563,2.024,-0.0334399898814925,-3.5955000000000013,-0.0726,-0.516119858923169,-0.7003168708235172,-0.0509994907179749,-0.0140246654178093,-0.015561964681267,-0.0173353839356458,0.0316902138313026,0.0402088741023908,-0.2849461070981059,0.0,0.4590157366677457,0.4454869110631315,0.5518512489281003,0.5826277097339713,2.0,0.0,0.0002879030564433,264901562.5,1649105.5,272591017.5,-0.004643982938823,57.715303,-6.886730000000007,10.0,0,0,0,115.0
000004.SZ,20211231,Train,3029578764.92,21.83168942565484,74.0387,2.0325,0.0231822971548998,30.582400000000007,0.0085000000000001,-0.5671195587722392,-0.8083899035175063,0.0210303400962634,0.0658616012331094,0.0135678828476715,0.0347205729196284,0.0147142916996045,0.0256510545754014,-0.1906174785406273,0.0,0.6476397221282449,0.6617209600359544,0.3847834358850356,0.4021464372672793,2.0,0.0,0.0002436333548512,264901562.5,1649105.5,272591017.5,-0.004643982938823,58.622227,0.9069240000000036,22.0,0,0,0,207.0
000004.SZ,20220331,Train,3121620550.26,21.86161811137757,76.2881,2.0943,0.0303810504634398,2.2493999999999943,0.0617999999999998,-0.5417225547718014,-0.6675278402002913,-0.0147716358645556,-0.057911804606366,0.0319699541541242,0.0040595252536081,0.0345207618519943,0.0388047537913543,-0.2282180329076271,1.0,0.7908084869661958,0.7958855706495199,0.4621002107927818,0.4862024493117768,1.0,0.0,0.0002242131306457,264901562.5,1649105.5,272591017.5,-0.004643982938823,53.474879,-5.147348000000001,9.0,0,0,0,297.0
000004.SZ,20220630,Train,1389986961.66,21.05256020466373,-2.6427,1.4864,-0.3822623742015089,-78.9308,-0.6079000000000001,-0.5737221763182796,-0.7783495990218806,-0.0409045434176812,-0.0766838969604745,-0.5630209531996028,-0.1500332584375018,0.0207154820086965,0.0322498829125715,-0.5709422395495964,0.0,0.6400720339038994,0.5966652421904445,0.3799799541459963,0.418033174797675,1.0,0.0,0.0005105001426476,264901562.5,1649105.5,272591017.5,-0.004643982938823,51.277814,-2.197065000000002,7.0,0,3,0,43.0
