secucode,year,kind,date,type
000004.SZ,2020,letter,2020-06-18,annual_report
000004.SZ,2021,letter,2021-05-18,annual_report
000004.SZ,2022,letter,2021-12-31,annual_report
000004.SZ,2022,letter,2022-11-29,attention
000004.SZ,2023,letter,2023-05-10,annual_report
000004.SZ,2023,letter,2023-06-14,annual_report
000005.SZ,2021,letter,2021-12-16,attention
000005.SZ,2021,letter,2021-05-20,annual_report
000005.SZ,2022,letter,2022-01-17,attention
000005.SZ,2022,letter,2022-05-25,annual_report
000005.SZ,2023,letter,2023-06-14,annual_report
000005.SZ,2024,letter,2024-02-21,attention
000007.SZ,2020,letter,2020-03-12,attention
000007.SZ,2020,letter,2020-05-29,annual_report
000007.SZ,2020,letter,2020-01-17,attention
000007.SZ,2020,letter,2020-04-14,attention
000007.SZ,2021,letter,2021-05-28,annual_report
000007.SZ,2021,letter,2021-02-08,attention
000007.SZ,2021,letter,2021-12-07,attention
000007.SZ,2021,letter,2021-01-09,restructuring
000007.SZ,2021,letter,2021-09-06,annual_report
000007.SZ,2022,letter,2022-12-23,attention
000007.SZ,2022,letter,2022-05-04,annual_report
000007.SZ,2022,letter,2022-12-14,annual_report
000007.SZ,2022,letter,2022-04-21,attention
000007.SZ,2022,letter,2022-01-28,attention
000007.SZ,2023,letter,2023-05-23,attention
000007.SZ,2023,letter,2023-06-20,annual_report
000007.SZ,2023,letter,2023-03-28,attention
000007.SZ,2023,letter,2023-06-06,annual_report
000007.SZ,2023,letter,2023-01-19,restructuring
000007.SZ,2023,letter,2023-02-27,attention
000007.SZ,2024,letter,2024-05-16,annual_report
000008.SZ,2023,letter,2023-05-05,annual_report
000008.SZ,2024,letter,2024-04-26,annual_report
000009.SZ,2023,letter,2023-09-07,attention
000010.SZ,2020,letter,2020-06-30,annual_report
000011.SZ,2020,letter,2020-06-18,restructuring
000012.SZ,2023,letter,2023-03-22,attention
000012.SZ,2023,letter,2023-03-30,attention
000014.SZ,2022,letter,2022-04-13,annual_report
000014.SZ,2022,letter,2022-01-27,attention
000016.SZ,2020,letter,2020-02-23,attention
000016.SZ,2023,letter,2023-05-05,annual_report
000016.SZ,2024,letter,2024-04-22,annual_report
000017.SZ,2021,letter,2021-06-04,annual_report
000017.SZ,2021,letter,2021-05-17,annual_report
000017.SZ,2022,letter,2022-05-17,annual_report
000017.SZ,2024,letter,2024-01-09,attention
000017.SZ,2024,letter,2024-01-04,restructuring
000020.SZ,2021,letter,2021-12-27,annual_report
000020.SZ,2022,letter,2022-05-13,annual_report
000023.SZ,2020,letter,2020-08-21,attention
000023.SZ,2021,letter,2021-06-30,annual_report
000023.SZ,2023,letter,2023-05-17,annual_report
000023.SZ,2024,letter,2024-04-30,annual_report
000023.SZ,2024,letter,2023-05-04,annual_report
000025.SZ,2022,letter,2022-06-17,restructuring
000025.SZ,2022,letter,2022-06-21,attention
000031.SZ,2023,letter,2023-02-09,attention
000032.SZ,2020,letter,2020-08-10,restructuring
000032.SZ,2022,letter,2022-02-21,annual_report
000034.SZ,2022,letter,2022-04-14,annual_report
000036.SZ,2020,letter,2020-07-27,attention
000038.SZ,2020,letter,2020-02-14,attention
000038.SZ,2020,letter,2019-12-24,annual_report
000038.SZ,2021,letter,2021-05-31,annual_report
000038.SZ,2022,letter,2022-01-27,attention
000038.SZ,2022,letter,2022-09-19,annual_report
000038.SZ,2022,letter,2022-01-24,annual_report
000038.SZ,2022,letter,2022-06-30,annual_report
000038.SZ,2022,letter,2022-10-26,attention
000038.SZ,2022,letter,2022-11-29,quarterly
000038.SZ,2023,letter,2023-01-31,annual_report
000038.SZ,2023,letter,2023-07-11,attention
000038.SZ,2023,letter,2023-03-16,annual_report
000038.SZ,2023,letter,2023-07-14,attention
000038.SZ,2023,letter,2023-03-27,attention
000040.SZ,2020,letter,2020-06-03,annual_report
000040.SZ,2020,letter,2020-01-15,attention
000040.SZ,2020,letter,2020-07-07,attention
000040.SZ,2020,letter,2020-09-24,annual_report
000040.SZ,2021,letter,2021-05-26,annual_report
000040.SZ,2023,letter,2023-05-31,annual_report
000040.SZ,2024,letter,2024-07-05,annual_report
000042.SZ,2024,letter,2024-06-30,annual_report
000045.SZ,2022,letter,2022-08-23,attention
000046.SZ,2021,letter,2021-12-23,restructuring
000046.SZ,2021,letter,2021-01-13,annual_report
000046.SZ,2021,letter,2021-02-01,attention
000046.SZ,2022,letter,2022-01-29,attention
000046.SZ,2022,letter,2022-05-18,annual_report
000046.SZ,2023,letter,2023-04-04,attention
000046.SZ,2023,letter,2023-05-04,attention
000046.SZ,2023,letter,2023-04-24,attention
000046.SZ,2023,letter,2023-05-19,annual_report
000046.SZ,2023,letter,2023-01-31,attention
000048.SZ,2020,letter,2020-03-09,annual_report
000050.SZ,2024,letter,2024-03-30,annual_report
000055.SZ,2020,letter,2020-04-22,attention
000056.SZ,2021,letter,2021-06-01,annual_report
000056.SZ,2021,letter,2021-11-10,quarterly
000056.SZ,2021,letter,2021-08-05,attention
000056.SZ,2022,letter,2022-04-06,annual_report
000056.SZ,2022,letter,2022-05-09,annual_report
000056.SZ,2022,letter,2022-02-07,attention
000056.SZ,2022,letter,2022-03-02,attention
000056.SZ,2022,letter,2022-12-23,attention
000056.SZ,2023,letter,2023-02-07,attention
000056.SZ,2023,letter,2023-01-31,attention
000056.SZ,2023,letter,2023-04-28,attention
000056.SZ,2023,letter,2023-05-12,annual_report
000056.SZ,2023,letter,2023-11-14,attention
000056.SZ,2023,letter,2023-01-11,attention
000056.SZ,2024,letter,2024-05-11,annual_report
000058.SZ,2020,letter,2020-07-06,restructuring
000058.SZ,2021,letter,2021-11-19,attention
000058.SZ,2022,letter,2022-02-28,attention
000059.SZ,2021,letter,2021-12-28,attention
000060.SZ,2022,letter,2022-09-08,attention
000063.SZ,2020,letter,2020-11-24,restructuring
000066.SZ,2023,letter,2023-06-06,annual_report
000068.SZ,2020,letter,2020-05-18,annual_report
000068.SZ,2022,letter,2022-04-01,annual_report
000068.SZ,2022,letter,2022-12-12,attention
000068.SZ,2023,letter,2023-06-13,annual_report
000069.SZ,2023,letter,2023-02-09,attention
000069.SZ,2023,letter,2023-04-22,annual_report
000070.SZ,2022,letter,2022-05-12,annual_report
000070.SZ,2022,letter,2022-02-08,attention
000070.SZ,2024,letter,2024-05-12,attention
000078.SZ,2023,letter,2023-05-09,annual_report
000088.SZ,2023,letter,2023-04-11,restructuring
000100.SZ,2020,letter,2020-06-05,restructuring
000150.SZ,2020,letter,2020-03-23,attention
000150.SZ,2020,letter,2020-06-19,annual_report
000150.SZ,2020,letter,2020-03-13,annual_report
000150.SZ,2021,letter,2021-05-18,annual_report
000150.SZ,2021,letter,2021-01-13,attention
000150.SZ,2021,letter,2021-04-15,attention
000150.SZ,2021,letter,2021-12-29,restructuring
000150.SZ,2022,letter,2022-05-11,annual_report
000150.SZ,2022,letter,2022-12-20,attention
000150.SZ,2022,letter,2022-11-14,restructuring
000150.SZ,2022,letter,2022-06-03,annual_report
000150.SZ,2022,letter,2022-12-29,restructuring
000150.SZ,2022,letter,2022-01-11,attention
000150.SZ,2023,letter,2023-01-03,attention
000150.SZ,2023,letter,2023-02-03,attention
000151.SZ,2021,letter,2021-11-30,restructuring
000151.SZ,2022,letter,2022-05-31,restructuring
000152.SZ,2022,letter,2022-03-30,annual_report
000152.SZ,2022,letter,2022-12-12,attention
000152.SZ,2022,letter,2022-09-06,annual_report
000152.SZ,2023,letter,2023-01-18,attention
000155.SZ,2020,letter,2020-12-07,restructuring
000155.SZ,2023,letter,2023-02-09,restructuring
000156.SZ,2020,letter,2020-05-11,restructuring
000159.SZ,2021,letter,2021-08-04,restructuring
000159.SZ,2022,letter,2022-09-16,attention
000159.SZ,2022,letter,2022-12-21,annual_report
000159.SZ,2022,letter,2022-08-29,attention
000159.SZ,2023,letter,2023-06-20,annual_report
000168.SZ,2020,letter,2020-06-19,annual_report
000168.SZ,2020,letter,2020-12-25,annual_report
000168.SZ,2020,letter,2020-09-29,annual_report
000168.SZ,2021,letter,2021-03-23,attention
000301.SZ,2021,letter,2021-07-21,restructuring
000401.SZ,2021,letter,2021-06-30,restructuring
000401.SZ,2024,letter,2024-05-30,annual_report
000403.SZ,2020,letter,2020-07-08,restructuring
000403.SZ,2023,letter,2023-10-19,attention
000403.SZ,2023,letter,2023-06-09,attention
000408.SZ,2020,letter,2020-06-05,attention
000408.SZ,2020,letter,2020-05-19,annual_report
000408.SZ,2020,letter,2020-04-30,attention
000408.SZ,2021,letter,2021-02-08,attention
000408.SZ,2021,letter,2021-04-22,annual_report
000408.SZ,2021,letter,2021-02-23,attention
000409.SZ,2020,letter,2020-07-29,restructuring
000409.SZ,2020,letter,2020-06-01,restructuring
000409.SZ,2020,letter,2020-04-07,annual_report
000409.SZ,2020,letter,2020-01-22,annual_report
000409.SZ,2021,letter,2021-03-25,annual_report
000409.SZ,2022,letter,2022-10-09,restructuring
000410.SZ,2020,letter,2020-05-20,annual_report
000410.SZ,2020,letter,2020-09-28,annual_report
000410.SZ,2021,letter,2021-05-19,annual_report
000410.SZ,2022,letter,2022-04-17,annual_report
000410.SZ,2022,letter,2022-06-30,attention
000410.SZ,2022,letter,2022-12-05,quarterly
000410.SZ,2023,letter,2023-05-05,annual_report
000411.SZ,2022,letter,2022-11-08,restructuring
000413.SZ,2020,letter,2020-06-24,attention
000413.SZ,2020,letter,2020-01-15,attention
000413.SZ,2020,letter,2020-04-07,attention
000413.SZ,2020,letter,2020-06-08,attention
000413.SZ,2020,letter,2020-07-06,annual_report
000413.SZ,2020,letter,2020-07-24,attention
000413.SZ,2020,letter,2020-05-26,attention
000413.SZ,2021,letter,2021-02-24,attention
000413.SZ,2021,letter,2021-05-24,annual_report
000413.SZ,2022,letter,2022-06-30,annual_report
000413.SZ,2023,letter,2023-05-30,annual_report
000413.SZ,2024,letter,2024-07-05,attention
000415.SZ,2021,letter,2021-06-04,annual_report
000415.SZ,2022,letter,2022-06-30,annual_report
000415.SZ,2023,letter,2023-05-31,annual_report
000415.SZ,2023,letter,2023-01-31,restructuring
000416.SZ,2022,letter,2022-01-30,attention
000416.SZ,2022,letter,2022-06-30,annual_report
000416.SZ,2023,letter,2023-04-19,annual_report
000416.SZ,2023,letter,2023-05-05,annual_report
000416.SZ,2024,letter,2024-01-30,attention
000416.SZ,2024,letter,2024-03-21,attention
000420.SZ,2023,letter,2023-05-29,annual_report
000421.SZ,2022,letter,2022-05-05,annual_report
000421.SZ,2023,letter,2023-03-07,attention
000422.SZ,2020,letter,2020-05-26,annual_report
000422.SZ,2021,letter,2021-05-17,annual_report
000425.SZ,2021,letter,2021-10-20,restructuring
000426.SZ,2020,letter,2020-06-30,annual_report
000426.SZ,2021,letter,2021-06-18,annual_report
000426.SZ,2022,letter,2022-05-18,annual_report
000426.SZ,2022,letter,2022-06-09,attention
000426.SZ,2022,letter,2022-09-13,attention
000426.SZ,2023,letter,2023-05-12,attention
000429.SZ,2020,letter,2020-12-03,restructuring
000430.SZ,2023,letter,2023-05-29,annual_report
000468.SZ,2020,letter,2020-12-02,restructuring
000468.SZ,2021,letter,2021-02-25,attention
000468.SZ,2023,letter,2023-05-11,annual_report
000488.SZ,2020,letter,2020-04-08,annual_report
000488.SZ,2023,letter,2023-02-08,restructuring
000498.SZ,2020,letter,2020-05-08,restructuring
000502.SZ,2020,letter,2020-03-17,restructuring
000502.SZ,2020,letter,2020-09-07,restructuring
000502.SZ,2021,letter,2021-12-10,annual_report
000502.SZ,2021,letter,2021-03-24,restructuring
000502.SZ,2021,letter,2021-06-02,annual_report
000502.SZ,2022,letter,2022-05-17,attention
000502.SZ,2022,letter,2022-04-13,annual_report
000502.SZ,2022,letter,2022-01-29,restructuring
000502.SZ,2022,letter,2022-03-10,attention
000503.SZ,2020,letter,2020-06-01,annual_report
000504.SZ,2020,letter,2020-05-06,annual_report
000504.SZ,2021,letter,2021-04-13,annual_report
000504.SZ,2022,letter,2022-06-06,annual_report
000504.SZ,2022,letter,2022-02-06,attention
000504.SZ,2023,letter,2023-04-28,annual_report
000506.SZ,2020,letter,2020-05-13,annual_report
000506.SZ,2020,letter,2020-06-11,annual_report
000506.SZ,2020,letter,2020-09-30,attention
000506.SZ,2020,letter,2020-09-29,annual_report
000506.SZ,2020,letter,2020-09-13,attention
000506.SZ,2020,letter,2020-09-24,attention
000506.SZ,2021,letter,2021-03-02,attention
000506.SZ,2021,letter,2021-03-31,attention
000506.SZ,2021,letter,2021-09-30,annual_report
000506.SZ,2021,letter,2021-07-29,annual_report
000506.SZ,2021,letter,2021-02-26,attention
000506.SZ,2021,letter,2021-05-27,annual_report
000506.SZ,2022,letter,2022-11-30,attention
000506.SZ,2022,letter,2022-06-30,annual_report
000506.SZ,2023,letter,2023-01-13,restructuring
000506.SZ,2023,letter,2023-05-26,annual_report
000506.SZ,2023,letter,2023-04-13,restructuring
000506.SZ,2024,letter,2024-10-28,restructuring
000506.SZ,2024,letter,2024-05-26,annual_report
000509.SZ,2020,letter,2018-08-01,annual_report
000509.SZ,2020,letter,2020-05-21,attention
000509.SZ,2020,letter,2020-01-22,attention
000509.SZ,2021,letter,2021-05-26,annual_report
000509.SZ,2021,letter,2021-09-16,restructuring
000509.SZ,2022,letter,2022-01-18,annual_report
000509.SZ,2022,letter,2022-03-01,annual_report
000509.SZ,2022,letter,2022-04-28,annual_report
000510.SZ,2020,letter,2020-07-17,attention
000510.SZ,2021,letter,2021-01-13,attention
000516.SZ,2021,letter,2021-09-17,attention
000518.SZ,2020,letter,2020-06-30,annual_report
000518.SZ,2023,letter,2023-05-16,annual_report
000523.SZ,2020,letter,2020-11-16,attention
000523.SZ,2020,letter,2020-09-27,attention
000523.SZ,2020,letter,2020-09-24,attention
000523.SZ,2021,letter,2021-05-31,annual_report
000523.SZ,2022,letter,2022-05-12,annual_report
000523.SZ,2023,letter,2023-06-18,restructuring
000524.SZ,2022,letter,2022-06-30,restructuring
000525.SZ,2020,letter,2020-06-23,annual_report
000525.SZ,2020,letter,2020-07-17,annual_report
000525.SZ,2020,letter,2020-05-07,attention
000525.SZ,2020,letter,2020-06-30,annual_report
000525.SZ,2020,letter,2020-03-24,attention
000525.SZ,2020,letter,2020-07-08,annual_report
000525.SZ,2021,letter,2021-12-21,attention
000525.SZ,2021,letter,2021-06-03,restructuring
000525.SZ,2021,letter,2021-03-09,attention
000525.SZ,2021,letter,2021-12-16,attention
000525.SZ,2021,letter,2021-01-18,annual_report
000525.SZ,2021,letter,2021-05-18,annual_report
000525.SZ,2022,letter,2022-06-30,annual_report
000525.SZ,2022,letter,2022-02-07,attention
000525.SZ,2023,letter,2023-05-24,annual_report
000525.SZ,2024,letter,2024-05-10,attention
000525.SZ,2024,letter,2024-06-30,annual_report
000526.SZ,2020,letter,2020-06-05,annual_report
000528.SZ,2021,letter,2021-05-25,restructuring
000529.SZ,2022,letter,2022-06-13,attention
000530.SZ,2022,letter,2022-10-12,restructuring
000530.SZ,2023,letter,2023-05-05,attention
000532.SZ,2020,letter,2020-09-11,annual_report
000536.SZ,2020,letter,2020-05-20,annual_report
000536.SZ,2021,letter,2021-04-14,annual_report
000536.SZ,2023,letter,2023-05-05,annual_report
000537.SZ,2021,letter,2021-12-06,restructuring
000537.SZ,2021,letter,2021-09-06,restructuring
000540.SZ,2021,letter,2021-12-06,restructuring
000540.SZ,2021,letter,2021-05-28,annual_report
000540.SZ,2022,letter,2022-05-05,annual_report
000540.SZ,2022,letter,2022-01-30,attention
000540.SZ,2023,letter,2023-04-27,attention
000540.SZ,2023,letter,2023-01-30,attention
000541.SZ,2021,letter,2021-11-12,restructuring
000541.SZ,2021,letter,2021-12-08,restructuring
000544.SZ,2023,letter,2023-01-11,restructuring
000544.SZ,2023,letter,2023-01-30,restructuring
000545.SZ,2020,letter,2020-05-25,annual_report
000545.SZ,2023,letter,2023-06-02,annual_report
000546.SZ,2023,letter,2023-05-24,annual_report
000546.SZ,2023,letter,2023-06-19,attention
000546.SZ,2024,letter,2024-05-15,annual_report
000546.SZ,2024,letter,2024-04-19,attention
000552.SZ,2022,letter,2022-05-01,restructuring
000552.SZ,2022,letter,2022-09-06,restructuring
000557.SZ,2020,letter,2020-06-19,annual_report
000558.SZ,2021,letter,2021-06-30,annual_report
000558.SZ,2023,letter,2023-10-19,restructuring
000558.SZ,2023,letter,2023-02-10,attention
000558.SZ,2023,letter,2023-05-29,annual_report
000564.SZ,2020,letter,2020-04-29,attention
000564.SZ,2020,letter,2020-05-19,annual_report
000564.SZ,2020,letter,2020-12-11,restructuring
000564.SZ,2021,letter,2021-06-04,annual_report
000564.SZ,2022,letter,2022-01-29,restructuring
000564.SZ,2022,letter,2022-05-05,annual_report
000564.SZ,2022,letter,2022-11-17,restructuring
000564.SZ,2023,letter,2023-01-20,restructuring
000564.SZ,2023,letter,2023-06-05,annual_report
000564.SZ,2024,letter,2024-05-10,annual_report
000566.SZ,2020,letter,2020-07-23,annual_report
000566.SZ,2021,letter,2021-09-24,attention
000566.SZ,2021,letter,2021-06-01,annual_report
000566.SZ,2022,letter,2022-06-30,annual_report
000566.SZ,2023,letter,2023-04-20,annual_report
000566.SZ,2024,letter,2024-04-12,attention
000571.SZ,2020,letter,2020-11-25,attention
000571.SZ,2020,letter,2020-03-26,attention
000571.SZ,2020,letter,2020-05-25,annual_report
000571.SZ,2020,letter,2020-01-03,attention
000571.SZ,2020,letter,2020-03-16,attention
000571.SZ,2021,letter,2021-02-03,annual_report
000571.SZ,2022,letter,2022-06-30,annual_report
000571.SZ,2023,letter,2023-08-10,attention
000571.SZ,2023,letter,2023-06-15,annual_report
000571.SZ,2023,letter,2023-05-16,annual_report
000572.SZ,2020,letter,2020-04-08,annual_report
000572.SZ,2021,letter,2021-05-12,annual_report
000572.SZ,2023,letter,2023-05-11,annual_report
000573.SZ,2022,letter,2022-09-09,restructuring
000576.SZ,2023,letter,2023-05-15,annual_report
000581.SZ,2023,letter,2023-04-17,attention
000584.SZ,2021,letter,2021-09-09,annual_report
000584.SZ,2021,letter,2021-05-13,attention
000584.SZ,2021,letter,2021-06-01,attention
000584.SZ,2022,letter,2022-12-27,attention
000584.SZ,2022,letter,2022-04-21,annual_report
000584.SZ,2023,letter,2023-05-29,annual_report
000584.SZ,2023,letter,2023-09-22,annual_report
000584.SZ,2024,letter,2024-03-06,annual_report
000584.SZ,2024,letter,2024-05-20,annual_report
000585.SZ,2020,letter,2017-08-31,annual_report
000585.SZ,2021,letter,2021-07-15,attention
000586.SZ,2020,letter,2020-05-27,annual_report
000586.SZ,2020,letter,2020-05-11,attention
000587.SZ,2020,letter,2020-09-03,annual_report
000587.SZ,2020,letter,2020-12-31,annual_report
000587.SZ,2020,letter,2020-05-08,annual_report
000587.SZ,2020,letter,2020-11-12,annual_report
000587.SZ,2020,letter,2020-10-21,restructuring
000587.SZ,2020,letter,2020-05-25,restructuring
000587.SZ,2020,letter,2020-06-17,annual_report
000587.SZ,2020,letter,2020-01-06,annual_report
000587.SZ,2021,letter,2021-12-28,attention
000587.SZ,2021,letter,2021-06-01,annual_report
000587.SZ,2021,letter,2021-09-10,annual_report
000587.SZ,2021,letter,2021-01-29,annual_report
000587.SZ,2021,letter,2021-02-25,attention
000587.SZ,2021,letter,2021-01-05,attention
000587.SZ,2021,letter,2021-11-15,quarterly
000587.SZ,2021,letter,2021-04-20,restructuring
000587.SZ,2022,letter,2022-09-09,annual_report
000587.SZ,2022,letter,2022-05-07,annual_report
000587.SZ,2022,letter,2019-11-20,restructuring
000587.SZ,2022,letter,2022-11-15,restructuring
000587.SZ,2022,letter,2022-01-30,attention
000587.SZ,2022,letter,2022-01-07,attention
000587.SZ,2022,letter,2022-11-28,quarterly
000587.SZ,2022,letter,2021-12-31,attention
000587.SZ,2023,letter,2023-01-16,attention
000591.SZ,2020,letter,2020-05-28,annual_report
000591.SZ,2020,letter,2020-07-10,attention
000592.SZ,2023,letter,2023-03-20,attention
000595.SZ,2020,letter,2020-05-18,annual_report
000595.SZ,2021,letter,2021-05-12,annual_report
000595.SZ,2022,letter,2022-06-02,restructuring
000597.SZ,2021,letter,2021-04-22,annual_report
000601.SZ,2020,letter,2020-03-04,attention
000601.SZ,2022,letter,2022-08-31,attention
000603.SZ,2020,letter,2020-06-30,annual_report
000603.SZ,2020,letter,2020-03-20,annual_report
000603.SZ,2021,letter,2021-06-30,restructuring
000606.SZ,2020,letter,2020-01-31,annual_report
000606.SZ,2020,letter,2020-07-29,attention
000606.SZ,2020,letter,2020-08-07,attention
000606.SZ,2020,letter,2020-06-04,annual_report
000606.SZ,2020,letter,2020-07-06,attention
000606.SZ,2021,letter,2021-06-09,attention
000606.SZ,2021,letter,2021-05-27,attention
000606.SZ,2021,letter,2021-05-12,annual_report
000606.SZ,2021,letter,2021-01-08,attention
000606.SZ,2021,letter,2021-01-25,attention
000606.SZ,2021,letter,2021-12-03,attention
000606.SZ,2021,letter,2021-06-15,annual_report
000606.SZ,2022,letter,2022-12-12,attention
000606.SZ,2022,letter,2022-08-25,annual_report
000606.SZ,2022,letter,2022-02-07,attention
000606.SZ,2022,letter,2022-06-30,annual_report
000606.SZ,2022,letter,2022-08-09,attention
000606.SZ,2022,letter,2022-10-27,restructuring
000606.SZ,2022,letter,2022-12-23,restructuring
000606.SZ,2022,letter,2022-08-10,attention
000606.SZ,2023,letter,2023-04-13,attention
000606.SZ,2023,letter,2023-01-30,attention
000606.SZ,2023,letter,2023-04-11,attention
000609.SZ,2020,letter,2020-06-17,annual_report
000609.SZ,2020,letter,2020-07-07,attention
000609.SZ,2020,letter,2020-04-30,annual_report
000609.SZ,2021,letter,2021-05-20,annual_report
000609.SZ,2021,letter,2021-08-10,attention
000609.SZ,2022,letter,2022-06-30,annual_report
000609.SZ,2024,letter,2024-05-09,annual_report
000611.SZ,2020,letter,2020-05-26,annual_report
000611.SZ,2020,letter,2020-01-08,attention
000611.SZ,2021,letter,2021-09-29,annual_report
000611.SZ,2021,letter,2021-08-16,attention
000611.SZ,2021,letter,2021-05-21,annual_report
000611.SZ,2022,letter,2022-06-06,attention
000611.SZ,2022,letter,2022-06-20,attention
000611.SZ,2022,letter,2022-04-17,attention
000611.SZ,2022,letter,2021-09-30,attention
000612.SZ,2021,letter,2021-12-07,attention
000613.SZ,2021,letter,2021-06-30,annual_report
000613.SZ,2022,letter,2022-01-26,attention
000613.SZ,2022,letter,2022-04-14,attention
000615.SZ,2020,letter,2020-04-30,attention
000615.SZ,2021,letter,2019-01-01,restructuring
000615.SZ,2021,letter,2021-11-23,attention
000615.SZ,2021,letter,2021-03-22,attention
000615.SZ,2022,letter,2022-05-20,annual_report
000615.SZ,2023,letter,2023-05-05,annual_report
000615.SZ,2023,letter,2023-12-25,restructuring
000615.SZ,2023,letter,2023-04-19,attention
000615.SZ,2024,letter,2024-01-30,attention
000615.SZ,2024,letter,2024-06-30,annual_report
000616.SZ,2020,letter,2020-05-25,annual_report
000616.SZ,2020,letter,2020-06-30,annual_report
000616.SZ,2020,letter,2020-11-13,attention
000616.SZ,2020,letter,2020-01-07,attention
000616.SZ,2020,letter,2020-06-30,annual_report
000616.SZ,2020,letter,2020-08-10,annual_report
000616.SZ,2021,letter,2021-06-03,annual_report
000616.SZ,2021,letter,2021-02-08,attention
000616.SZ,2022,letter,2022-05-05,annual_report
000616.SZ,2022,letter,2022-01-30,annual_report
000616.SZ,2022,letter,2022-04-22,attention
000616.SZ,2022,letter,2022-09-15,annual_report
000616.SZ,2023,letter,2023-05-11,annual_report
000616.SZ,2023,letter,2023-06-02,attention
000616.SZ,2023,letter,2023-01-31,annual_report
000616.SZ,2023,letter,2023-03-02,attention
000620.SZ,2020,letter,2020-06-30,annual_report
000620.SZ,2020,letter,2020-04-28,attention
000620.SZ,2021,letter,2021-01-31,attention
000620.SZ,2021,letter,2021-04-28,annual_report
000620.SZ,2022,letter,2022-01-29,attention
000620.SZ,2022,letter,2022-05-16,annual_report
000620.SZ,2023,letter,2023-02-09,attention
000620.SZ,2023,letter,2023-05-10,annual_report
000620.SZ,2023,letter,2023-04-22,annual_report
000620.SZ,2024,letter,2024-04-10,annual_report
000622.SZ,2020,letter,2019-04-25,annual_report
000622.SZ,2022,letter,2022-10-24,attention
000622.SZ,2023,letter,2023-05-16,attention
000622.SZ,2023,letter,2023-05-26,attention
000622.SZ,2023,letter,2023-03-16,attention
000622.SZ,2023,letter,2023-06-02,annual_report
000622.SZ,2024,letter,2024-05-20,annual_report
000626.SZ,2022,letter,2022-11-15,attention
000628.SZ,2020,letter,2020-03-19,attention
000628.SZ,2022,letter,2022-06-28,attention
000628.SZ,2023,letter,2023-10-19,restructuring
000629.SZ,2021,letter,2021-05-10,annual_report
000629.SZ,2021,letter,2021-09-15,attention
000630.SZ,2021,letter,2021-04-02,attention
000630.SZ,2023,letter,2023-01-05,restructuring
000633.SZ,2020,letter,2020-03-13,annual_report
000633.SZ,2021,letter,2021-02-25,attention
000633.SZ,2021,letter,2021-06-04,annual_report
000633.SZ,2022,letter,2022-03-31,annual_report
000633.SZ,2022,letter,2022-06-20,attention
000637.SZ,2020,letter,2020-01-22,annual_report
000637.SZ,2020,letter,2020-02-25,attention
000637.SZ,2020,letter,2020-05-21,attention
000637.SZ,2021,letter,2021-02-10,attention
000637.SZ,2021,letter,2021-05-29,annual_report
000637.SZ,2022,letter,2022-01-29,attention
000637.SZ,2022,letter,2022-10-28,attention
000637.SZ,2022,letter,2022-01-26,attention
000637.SZ,2023,letter,2023-05-18,annual_report
000637.SZ,2024,letter,2024-01-15,attention
000637.SZ,2024,letter,2024-05-10,annual_report
000638.SZ,2021,letter,2021-11-03,attention
000638.SZ,2021,letter,2021-04-14,annual_report
000638.SZ,2021,letter,2021-10-27,annual_report
000638.SZ,2021,letter,2021-03-01,annual_report
000638.SZ,2021,letter,2021-08-26,attention
000638.SZ,2022,letter,2022-05-05,annual_report
000638.SZ,2024,letter,2024-06-30,annual_report
000639.SZ,2020,letter,2020-10-13,annual_report
000639.SZ,2021,letter,2021-12-20,attention
000639.SZ,2021,letter,2021-05-28,annual_report
000639.SZ,2022,letter,2022-05-18,annual_report
000639.SZ,2022,letter,2022-07-04,attention
000639.SZ,2023,letter,2023-06-05,annual_report
000639.SZ,2024,letter,2024-05-22,annual_report
000652.SZ,2021,letter,2021-06-07,annual_report
000652.SZ,2022,letter,2022-06-30,annual_report
000652.SZ,2022,letter,2022-02-08,attention
000652.SZ,2023,letter,2023-05-18,annual_report
000656.SZ,2021,letter,2021-07-13,attention
000656.SZ,2022,letter,2022-05-16,annual_report
000656.SZ,2022,letter,2022-07-14,attention
000656.SZ,2022,letter,2022-01-21,attention
000656.SZ,2022,letter,2022-06-30,attention
000656.SZ,2023,letter,2023-05-10,annual_report
000656.SZ,2023,letter,2023-01-31,attention
000656.SZ,2023,letter,2023-06-21,restructuring
000656.SZ,2023,letter,2023-05-23,attention
000656.SZ,2023,letter,2023-02-10,attention
000656.SZ,2024,letter,2024-05-20,annual_report
000659.SZ,2020,letter,2020-06-05,annual_report
000659.SZ,2021,letter,2021-06-30,annual_report
000661.SZ,2020,letter,2020-09-15,attention
000661.SZ,2020,letter,2020-03-27,attention
000662.SZ,2020,letter,2020-01-15,annual_report
000662.SZ,2020,letter,2020-07-08,annual_report
000662.SZ,2020,letter,2020-01-16,annual_report
000662.SZ,2020,letter,2020-09-11,attention
000662.SZ,2020,letter,2020-02-05,annual_report
000662.SZ,2020,letter,2020-04-13,attention
000662.SZ,2020,letter,2020-01-22,annual_report
000662.SZ,2020,letter,2020-04-28,attention
000662.SZ,2020,letter,2020-12-11,attention
000663.SZ,2020,letter,2020-06-30,annual_report
000663.SZ,2021,letter,2021-06-30,annual_report
000663.SZ,2024,letter,2024-04-01,attention
