company_code,report_period,actual,prob,SHAP_top1_feature,SHAP_top1_direction,SHAP_top1_value,SHAP_top2_feature,SHAP_top2_direction,SHAP_top2_value,SHAP_top3_feature,SHAP_top3_direction,SHAP_top3_value,SHAP_top4_feature,SHAP_top4_direction,SHAP_top4_value,SHAP_top5_feature,SHAP_top5_direction,SHAP_top5_value
000005.SZ,20210331,1,0.5717138860145895,announcement_semantic_000,positive_risk,0.99483,gov_nonstandard_audit_opinion,positive_risk,0.49643,f6_last_inquiry_interval_days,positive_risk,0.46481,mkt_volume_cv_20d,negative_risk,-0.30253,announcement_semantic_034,negative_risk,-0.27133
000005.SZ,20210630,0,0.21807534466102602,announcement_semantic_002,negative_risk,-0.55094,gov_nonstandard_audit_opinion,positive_risk,0.35963,announcement_semantic_029,negative_risk,-0.24972,mkt_institutional_holder_count,positive_risk,0.24455,f6_first_inquiry_interval_days,negative_risk,-0.21695
000005.SZ,20210930,0,0.09792457906253203,announcement_semantic_000,negative_risk,-1.05639,gov_nonstandard_audit_opinion,positive_risk,0.53224,announcement_semantic_002,negative_risk,-0.32085,mkt_institutional_holder_count,positive_risk,0.24832,mkt_return_5d,negative_risk,-0.21845
000005.SZ,20211231,1,0.44257508151633596,gov_nonstandard_audit_opinion,positive_risk,0.54285,mkt_max_drawdown_60d,negative_risk,-0.44174,f6_last_inquiry_interval_days,positive_risk,0.32589,mkt_institutional_holder_count,positive_risk,0.2926,f2_benford_flag,positive_risk,0.17347
000005.SZ,20220331,1,0.7877115623440902,gov_nonstandard_audit_opinion,positive_risk,0.56375,mkt_institutional_holder_count,positive_risk,0.31367,f6_inquiry_count_24m,positive_risk,0.26585,gov_board_size,negative_risk,-0.20149,sent_post_count_30d,positive_risk,0.18225
000005.SZ,20220630,0,0.43089392677119775,f6_inquiry_count_24m,positive_risk,0.44801,announcement_semantic_013,negative_risk,-0.29613,gov_nonstandard_audit_opinion,positive_risk,0.28288,mkt_institutional_holder_count,positive_risk,0.2671,mkt_volatility_20d,negative_risk,-0.25394
000005.SZ,20220930,0,0.22961947677520597,f6_inquiry_count_24m,positive_risk,0.44061,sent_sentiment_mean_30d,negative_risk,-0.36103,mkt_pe_change_qoq,negative_risk,-0.33016,mkt_institutional_holder_count,positive_risk,0.31445,announcement_semantic_000,negative_risk,-0.30865
000005.SZ,20221231,0,0.5177411121691058,mkt_volume_ratio_20d,negative_risk,-0.58448,f6_inquiry_count_24m,positive_risk,0.52772,gov_nonstandard_audit_opinion,positive_risk,0.43024,announcement_semantic_001,negative_risk,-0.40984,announcement_semantic_000,positive_risk,0.40675
000005.SZ,20230331,0,0.6888316659861698,mkt_volatility_20d,negative_risk,-0.64316,f6_last_inquiry_interval_days,positive_risk,0.5627,announcement_semantic_000,positive_risk,0.4523,mkt_max_drawdown_60d,negative_risk,-0.44932,f6_inquiry_count_24m,positive_risk,0.44595
000005.SZ,20230630,0,0.26198041062428046,announcement_semantic_002,negative_risk,-0.6716,announcement_semantic_000,positive_risk,0.62827,mkt_return_20d,negative_risk,-0.33995,f6_last_inquiry_interval_days,positive_risk,0.3354,f6_inquiry_count_24m,positive_risk,0.33236
000005.SZ,20230930,0,0.3385133357609721,gov_nonstandard_audit_opinion,positive_risk,0.54096,f6_inquiry_count_24m,positive_risk,0.46098,sent_post_count_5d,negative_risk,-0.34328,gov_board_size,negative_risk,-0.30677,announcement_semantic_002,negative_risk,-0.29425
000005.SZ,20231231,1,0.1946137827082958,mkt_excess_return_20d,negative_risk,-0.51756,sent_sentiment_volatility_30d,negative_risk,-0.43703,announcement_semantic_002,negative_risk,-0.39954,announcement_semantic_028,negative_risk,-0.36061,mkt_institutional_holder_count,positive_risk,0.33376
000005.SZ,20240331,0,0.15363805343974146,mkt_volume_ratio_20d,negative_risk,-0.69283,mkt_excess_return_20d,negative_risk,-0.45722,mkt_extreme_down_days_20d,negative_risk,-0.32014,announcement_semantic_002,negative_risk,-0.31934,sent_read_count_30d,positive_risk,0.31189
000005.SZ,20240630,0,0.08442666602166346,announcement_semantic_000,negative_risk,-1.3344,mkt_volume_ratio_20d,negative_risk,-0.49887,sent_guba_negative_ratio_30d,negative_risk,-0.37603,sent_read_count_30d,negative_risk,-0.32128,mkt_extreme_down_days_20d,negative_risk,-0.29718
000005.SZ,20241231,0,0.04855445782262311,announcement_semantic_000,negative_risk,-2.17474,sent_read_count_30d,negative_risk,-0.89593,mkt_volume_ratio_20d,negative_risk,-0.53589,sent_post_count_5d,negative_risk,-0.4986,sent_post_count_30d,negative_risk,-0.40624
000020.SZ,20210331,0,0.3489844239256423,announcement_semantic_000,positive_risk,1.13602,f6_last_inquiry_interval_days,positive_risk,0.59753,sent_post_count_5d,negative_risk,-0.25219,announcement_semantic_047,negative_risk,-0.24297,gov_board_size,negative_risk,-0.22775
000020.SZ,20210630,0,0.06884651262589433,f6_last_inquiry_interval_days,positive_risk,0.49302,mkt_max_drawdown_60d,negative_risk,-0.47935,announcement_semantic_002,negative_risk,-0.45491,announcement_semantic_047,negative_risk,-0.27918,announcement_semantic_001,negative_risk,-0.25416
