company_code,report_period,actual,prob,SHAP_top1_feature,SHAP_top1_direction,SHAP_top1_value,SHAP_top2_feature,SHAP_top2_direction,SHAP_top2_value,SHAP_top3_feature,SHAP_top3_direction,SHAP_top3_value,SHAP_top4_feature,SHAP_top4_direction,SHAP_top4_value,SHAP_top5_feature,SHAP_top5_direction,SHAP_top5_value
000005.SZ,20200331,0,0.1458864415400995,announcement_semantic_000,negative_risk,-0.43385,mkt_volume_ratio_20d,negative_risk,-0.40512,f6_last_inquiry_interval_days,positive_risk,0.37751,gov_board_size,negative_risk,-0.34296,mkt_pb_industry_zscore,negative_risk,-0.33899
000005.SZ,20200630,0,0.16546018013744188,f6_last_inquiry_interval_days,positive_risk,0.34095,gov_board_size,negative_risk,-0.2909,announcement_semantic_000,negative_risk,-0.2544,mkt_volatility_20d,negative_risk,-0.22208,sent_read_count_30d,negative_risk,-0.21017
000005.SZ,20200930,0,0.26463747613505606,announcement_semantic_000,negative_risk,-0.39219,f6_last_inquiry_interval_days,positive_risk,0.37356,gov_board_size,negative_risk,-0.29682,announcement_semantic_036,negative_risk,-0.17133,mkt_return_5d,negative_risk,-0.1395
000005.SZ,20201231,0,0.08513291416278684,mkt_volatility_20d,negative_risk,-0.49372,announcement_semantic_000,positive_risk,0.33466,gov_board_size,negative_risk,-0.32542,f6_last_inquiry_interval_days,positive_risk,0.22226,sent_sentiment_mean_30d,negative_risk,-0.19626
000005.SZ,20210331,0,0.2872996335856435,announcement_semantic_000,positive_risk,0.36816,f6_last_inquiry_interval_days,positive_risk,0.28638,sent_read_count_30d,positive_risk,0.23762,announcement_semantic_034,negative_risk,-0.1647,announcement_semantic_030,negative_risk,-0.16242
000005.SZ,20210630,0,0.2491135644805756,announcement_semantic_002,negative_risk,-0.35398,f6_last_inquiry_interval_days,positive_risk,0.24266,mkt_pe_change_qoq,negative_risk,-0.20041,sent_guba_negative_ratio_30d,positive_risk,0.17237,sent_read_count_30d,positive_risk,0.16805
000005.SZ,20210930,0,0.08320741617272728,announcement_semantic_000,negative_risk,-0.33284,announcement_semantic_002,negative_risk,-0.27247,mkt_return_5d,negative_risk,-0.26701,mkt_volume_ratio_20d,negative_risk,-0.24324,mkt_pe_change_qoq,negative_risk,-0.17904
000005.SZ,20211231,1,0.2477721896682904,f6_inquiry_count_12m,positive_risk,0.25404,mkt_pb_industry_zscore,negative_risk,-0.24454,f6_last_inquiry_interval_days,positive_risk,0.21954,announcement_semantic_036,negative_risk,-0.17116,gov_top10_holder_ratio,negative_risk,-0.16859
000005.SZ,20220331,0,0.32288729082358847,f6_inquiry_count_12m,positive_risk,0.26254,mkt_pb_industry_zscore,negative_risk,-0.1886,f6_attention_letter_count,positive_risk,0.17896,sent_guba_negative_ratio_30d,positive_risk,0.17266,gov_top10_holder_ratio,negative_risk,-0.16685
000005.SZ,20220630,0,0.3050556369223749,f6_last_inquiry_interval_days,positive_risk,0.31746,mkt_volatility_20d,negative_risk,-0.29235,mkt_pe_ratio,negative_risk,-0.20636,announcement_semantic_001,negative_risk,-0.18656,f6_inquiry_count_24m,positive_risk,0.18589
000005.SZ,20220930,0,0.14744004819349255,sent_sentiment_mean_30d,negative_risk,-0.4207,mkt_return_5d,negative_risk,-0.30871,f6_inquiry_count_24m,positive_risk,0.22399,mkt_pe_change_qoq,negative_risk,-0.20816,gov_nonstandard_audit_opinion,positive_risk,0.1635
000005.SZ,20221231,0,0.31809934057465566,announcement_semantic_001,negative_risk,-0.42253,mkt_volume_ratio_20d,negative_risk,-0.34258,announcement_semantic_000,positive_risk,0.22254,f6_inquiry_count_12m,positive_risk,0.21203,mkt_pb_industry_zscore,negative_risk,-0.19349
000005.SZ,20230331,0,0.14838328952495894,mkt_volatility_20d,negative_risk,-0.50657,announcement_semantic_001,negative_risk,-0.34522,announcement_semantic_000,positive_risk,0.25764,mkt_volatility_60d,negative_risk,-0.19963,mkt_pb_industry_zscore,negative_risk,-0.19954
000005.SZ,20230630,0,0.1786493725138471,f6_last_inquiry_interval_days,positive_risk,0.33539,announcement_semantic_000,positive_risk,0.25923,announcement_semantic_002,negative_risk,-0.2514,mkt_excess_return_20d,negative_risk,-0.22523,f6_inquiry_count_24m,positive_risk,0.18344
