company_code,report_period,actual,prob,SHAP_top1_feature,SHAP_top1_direction,SHAP_top1_value,SHAP_top2_feature,SHAP_top2_direction,SHAP_top2_value,SHAP_top3_feature,SHAP_top3_direction,SHAP_top3_value,SHAP_top4_feature,SHAP_top4_direction,SHAP_top4_value,SHAP_top5_feature,SHAP_top5_direction,SHAP_top5_value
000020.SZ,20200630,0,0.1897998944091695,sent_read_count_30d,negative_risk,-0.21761,f6_inquiry_count_60m,positive_risk,0.19925,mkt_pe_ratio,positive_risk,0.18947,mkt_pe_change_qoq,negative_risk,-0.16609,mkt_volume_ratio_20d,negative_risk,-0.16479
000020.SZ,20200930,0,0.16794916789024283,mkt_pe_ratio,positive_risk,0.25516,mkt_return_5d,negative_risk,-0.23211,f6_inquiry_count_60m,positive_risk,0.19513,sent_read_count_30d,negative_risk,-0.18199,regulatory_inquiry_semantic_001,negative_risk,-0.17788
000020.SZ,20201231,0,0.11188008610383031,sent_read_count_30d,negative_risk,-0.24188,f6_inquiry_count_60m,positive_risk,0.20573,regulatory_inquiry_semantic_001,negative_risk,-0.17153,mkt_pe_ratio,positive_risk,0.14879,mkt_pb_change_qoq,negative_risk,-0.1263
000020.SZ,20210331,0,0.2083071384409424,f6_inquiry_count_60m,positive_risk,0.24336,mkt_pe_ratio,positive_risk,0.17594,regulatory_inquiry_semantic_001,negative_risk,-0.14842,sent_post_count_5d,negative_risk,-0.13666,mkt_days_since_last_risk_warning,positive_risk,0.11197
000020.SZ,20210630,0,0.17438982646026696,f6_inquiry_count_60m,positive_risk,0.23716,mkt_pe_ratio,positive_risk,0.16303,regulatory_inquiry_semantic_001,negative_risk,-0.15998,sent_guba_positive_ratio_30d,positive_risk,0.15763,mkt_days_since_last_risk_warning,positive_risk,0.13192
000020.SZ,20210930,1,0.11141975624329674,f6_inquiry_count_60m,positive_risk,0.20716,sent_read_count_30d,negative_risk,-0.20032,regulatory_inquiry_semantic_001,negative_risk,-0.16904,mkt_pe_ratio,positive_risk,0.13121,mkt_return_5d,positive_risk,0.12351
000020.SZ,20211231,0,0.11686313049563002,regulatory_inquiry_semantic_001,positive_risk,0.39744,f6_inquiry_count_12m,negative_risk,-0.2077,regulatory_inquiry_semantic_003,positive_risk,0.1544,sent_read_count_30d,negative_risk,-0.14462,regulatory_inquiry_semantic_049,negative_risk,-0.13185
000020.SZ,20220331,1,0.12652385439181238,regulatory_inquiry_semantic_001,positive_risk,0.41978,f6_inquiry_count_12m,negative_risk,-0.20556,sent_read_count_30d,negative_risk,-0.1684,regulatory_inquiry_semantic_003,positive_risk,0.16138,regulatory_inquiry_semantic_049,negative_risk,-0.12458
000020.SZ,20220630,0,0.2528993106488463,regulatory_inquiry_semantic_001,positive_risk,0.43929,regulatory_inquiry_semantic_003,positive_risk,0.23947,sent_read_count_30d,negative_risk,-0.20104,mkt_days_since_last_risk_warning,positive_risk,0.17404,mkt_pe_ratio,positive_risk,0.159
000020.SZ,20220930,0,0.1977942350488163,regulatory_inquiry_semantic_001,positive_risk,0.43281,regulatory_inquiry_semantic_003,positive_risk,0.22753,mkt_return_5d,negative_risk,-0.1346,sent_read_count_30d,negative_risk,-0.12425,mkt_pe_ratio,positive_risk,0.10502
000020.SZ,20221231,0,0.17298366891025757,regulatory_inquiry_semantic_001,positive_risk,0.42058,sent_read_count_30d,negative_risk,-0.24363,f6_inquiry_count_12m,negative_risk,-0.19616,regulatory_inquiry_semantic_003,positive_risk,0.18979,mkt_pe_ratio,positive_risk,0.12711
000020.SZ,20230331,0,0.19954762052829395,regulatory_inquiry_semantic_001,positive_risk,0.54144,f6_last_inquiry_interval_days,positive_risk,0.38546,sent_read_count_30d,negative_risk,-0.20481,regulatory_inquiry_semantic_003,positive_risk,0.19576,f6_inquiry_count_12m,negative_risk,-0.17575
000020.SZ,20230630,0,0.056696718435854554,sent_read_count_30d,negative_risk,-0.23028,regulatory_inquiry_semantic_001,negative_risk,-0.20268,sent_post_count_5d,positive_risk,0.18153,mkt_institutional_holder_count,negative_risk,-0.1778,mkt_pe_ratio,positive_risk,0.14504
000020.SZ,20230930,0,0.0765982247631262,regulatory_inquiry_semantic_001,negative_risk,-0.19636,mkt_pe_ratio,positive_risk,0.19192,sent_read_count_30d,negative_risk,-0.18871,mkt_institutional_holder_count,positive_risk,0.12762,f6_inquiry_count_60m,negative_risk,-0.1273
000020.SZ,20231231,0,0.03888750406946696,mkt_institutional_holder_count,negative_risk,-0.22217,regulatory_inquiry_semantic_001,negative_risk,-0.19338,mkt_pb_ratio,positive_risk,0.19301,sent_read_count_30d,negative_risk,-0.19251,f6_inquiry_count_60m,negative_risk,-0.1376
000020.SZ,20240331,0,0.08686026934934579,governance_year,negative_risk,-0.24118,regulatory_inquiry_semantic_001,negative_risk,-0.18071,mkt_institutional_holder_count,positive_risk,0.1625,f6_inquiry_count_60m,negative_risk,-0.14228,mkt_max_drawdown_60d,positive_risk,0.13934
000020.SZ,20240630,0,0.03877708988459591,governance_year,negative_risk,-0.32279,f6_last_inquiry_interval_days,negative_risk,-0.30223,sent_read_count_30d,negative_risk,-0.21776,mkt_institutional_holder_count,negative_risk,-0.21681,regulatory_inquiry_semantic_001,negative_risk,-0.21413
000020.SZ,20240930,0,0.06333052043027895,f6_last_inquiry_interval_days,negative_risk,-0.42946,governance_year,negative_risk,-0.40522,regulatory_inquiry_semantic_001,negative_risk,-0.19023,mkt_volatility_20d,negative_risk,-0.18085,mkt_pe_ratio,positive_risk,0.14983
000020.SZ,20241231,0,0.020122035496796833,f6_last_inquiry_interval_days,negative_risk,-0.5077,governance_year,negative_risk,-0.37018,sent_read_count_30d,negative_risk,-0.25297,regulatory_inquiry_semantic_001,negative_risk,-0.21748,mkt_institutional_holder_count,negative_risk,-0.20581
000036.SZ,20200331,0,0.3215418777516018,f6_inquiry_count_60m,positive_risk,0.18864,f2_p_roa,positive_risk,0.18779,sent_read_count_30d,positive_risk,0.16911,mkt_pe_ratio,negative_risk,-0.12389,regulatory_inquiry_semantic_001,negative_risk,-0.12304
000036.SZ,20200630,1,0.13448114811311768,f6_inquiry_count_60m,positive_risk,0.20584,mkt_institutional_holder_count,negative_risk,-0.18262,regulatory_inquiry_semantic_001,negative_risk,-0.16352,mkt_volatility_60d,negative_risk,-0.15154,mkt_pe_ratio,negative_risk,-0.14996
000036.SZ,20200930,0,0.14384040633112116,regulatory_inquiry_semantic_275,positive_risk,0.25974,sent_read_count_30d,positive_risk,0.25898,regulatory_inquiry_semantic_003,positive_risk,0.25335,regulatory_inquiry_semantic_001,negative_risk,-0.19106,f2_p_roa,negative_risk,-0.17946
000036.SZ,20201231,0,0.13252827413845786,regulatory_inquiry_semantic_275,positive_risk,0.26397,regulatory_inquiry_semantic_003,positive_risk,0.25724,mkt_volatility_20d,negative_risk,-0.22324,regulatory_inquiry_semantic_001,negative_risk,-0.18872,mkt_institutional_holder_count,negative_risk,-0.15919
000036.SZ,20210331,0,0.12595167670976284,regulatory_inquiry_semantic_003,positive_risk,0.26671,regulatory_inquiry_semantic_275,positive_risk,0.24787,regulatory_inquiry_semantic_001,negative_risk,-0.19357,f2_p_roa,negative_risk,-0.16155,regulatory_inquiry_semantic_078,negative_risk,-0.1357
000036.SZ,20210630,0,0.12986336047396924,sent_read_count_30d,positive_risk,0.27055,regulatory_inquiry_semantic_003,positive_risk,0.26886,regulatory_inquiry_semantic_275,positive_risk,0.24194,regulatory_inquiry_semantic_001,negative_risk,-0.21406,f2_p_roa,negative_risk,-0.16572
