feature,importance_ensemble
announcement_semantic_000,291.36297749461806
f6_last_inquiry_interval_days,235.3512261940216
mkt_max_drawdown_60d,204.33797544785173
mkt_volume_cv_20d,202.67038822274188
mkt_return_5d,197.33785746868804
mkt_pe_change_qoq,196.3378920955504
mkt_volume_ratio_20d,194.00416238437379
announcement_semantic_001,193.00606934823705
announcement_semantic_002,187.67611393334846
announcement_semantic_029,187.00454008332713
sent_guba_negative_ratio_30d,185.67539971125336
mkt_institutional_holding_change,178.33807568320125
mkt_volatility_60d,176.33697449109158
announcement_semantic_009,175.6707106395869
sent_read_count_30d,174.0123229026632
announcement_semantic_003,167.00382605408927
sent_guba_sentiment_volatility_30d,166.67183759181145
mkt_excess_return_20d,166.67109008582543
sent_guba_positive_ratio_30d,165.0060465761052
mkt_pb_change_qoq,164.33673891569293
announcement_semantic_030,159.6704166290834
mkt_days_since_last_risk_warning,158.00567555945372
announcement_semantic_044,157.0041739160341
sent_post_daily_peak_30d,156.33914042488536
mkt_volatility_20d,155.3375502186865
mkt_pe_ratio,155.00734413333984
announcement_semantic_045,153.00518823017762
announcement_semantic_011,152.33648529309585
announcement_semantic_007,149.6711039129827
announcement_semantic_025,149.00436751198006
announcement_semantic_033,148.3367710185362
announcement_semantic_041,147.67049767611883
announcement_semantic_047,147.00381169890724
announcement_semantic_006,146.6708107841636
announcement_semantic_026,145.67032794938171
mkt_pb_ratio,145.33741090831037
sent_post_count_5d,145.0064182915012
announcement_semantic_010,145.0038158323291
gov_top10_holder_ratio,144.00604279306904
announcement_semantic_035,144.00398841589814
announcement_semantic_004,143.67070081653506
sent_guba_sentiment_mean_30d,143.33702257989898
mkt_institutional_holding_ratio,143.00538443605157
mkt_cap_industry_zscore,142.33727107521327
announcement_semantic_037,141.6703429514283
announcement_semantic_046,141.33699029929173
mkt_institutional_holder_count,141.01290705709684
f6_first_inquiry_interval_days,141.00968975972
sent_sentiment_mean_30d,140.00392249052814
announcement_semantic_049,140.00352130046738
announcement_semantic_028,139.3369712006527
announcement_semantic_008,138.6703497848886
announcement_semantic_013,138.00441244196602
announcement_semantic_048,138.00403555083193
announcement_semantic_005,137.67116649891966
announcement_semantic_012,137.00558225483235
announcement_semantic_014,137.00388040550666
mkt_market_cap_qoq,135.33660830050925
announcement_semantic_039,134.00396769741343
sent_post_count_30d,133.34033405638604
announcement_semantic_016,133.0038326312295
announcement_semantic_018,132.33705715254357
announcement_semantic_036,132.33655863004554
mkt_market_cap,132.00377341134387
mkt_return_60d,131.67037830550268
announcement_semantic_024,130.33731411717153
announcement_semantic_038,130.33709368556794
announcement_semantic_017,129.6719734677716
announcement_semantic_032,129.6700613339369
announcement_semantic_040,129.00330124352345
mkt_return_20d,128.67104429652179
announcement_semantic_019,128.6708239277573
gov_independent_director_ratio,128.33620197534893
announcement_semantic_031,127.00344422101078
mkt_pb_industry_zscore,126.67010716180448
mkt_amihud_illiquidity_20d,126.33734612092069
announcement_semantic_027,126.00349264519265
gov_top1_top10_ratio,124.00375670340988
announcement_semantic_015,123.33706980357341
announcement_semantic_034,121.3370623455329
announcement_semantic_023,121.00405900156939
gov_top1_holder_ratio,118.67162182080666
announcement_semantic_021,118.67085084560243
announcement_semantic_020,117.33690845572403
sent_sentiment_volatility_30d,113.3370521385081
announcement_semantic_042,113.00327740695046
announcement_semantic_043,110.00348901898383
gov_top1_top2_gap,109.67140391331435
announcement_semantic_022,108.33674928548744
mkt_financing_balance,101.33830364362207
mkt_financing_balance_change,86.00295572600498
f6_inquiry_count_24m,84.36412411545248
f6_avg_inquiry_interval_days,81.67540747438994
sent_news_count_30d,78.66950581049464
sent_negative_ratio_30d,77.6696586033103
mkt_securities_balance,73.67040367911916
gov_board_size,73.00240766890396
f6_inquiry_count_12m,71.68705809735563
f6_inquiry_interval_cv,67.34864993952006
sent_news_title_count_30d,64.33604212992456
sent_news_count_10d,56.669125335667644
f6_annual_report_inquiry_count,52.01196569742874
f2_trend_deterioration,51.336885145552884
f6_attention_letter_count,48.34221013143875
sent_negative_news_count_30d,48.33572646231867
gov_independent_director_count,47.00178982821138
gov_nonstandard_audit_opinion,45.017107247517906
f6_inquiry_count_60m,44.67839716493315
sent_news_count_5d,44.00265346780591
sent_news_daily_peak_30d,38.003467516758114
f2_benford_flag,22.004613702121304
mkt_extreme_down_days_20d,20.669395766327124
mkt_abnormal_volume_days_20d,18.33464488298392
mkt_risk_warning_count_90d,17.003015151258218
sent_negative_peak_30d,13.669173058697119
f2_loss_flag,12.340293651184291
mkt_risk_warning_count_30d,10.667834645262362
f2_industry_outlier_count,10.337087701962385
f6_restructuring_inquiry_count,8.002023591734309
f2_p_roa,7.673039823228166
f6_unreplied_count,7.336516254489719
f2_p_cfo,7.002678553187351
gov_auditor_change,6.6693122863433665
f2_ocf_to_profit_extreme,6.334628390080699
f2_neg_accruals_flag,5.669713189596838
gov_audit_firm_change,5.6677531209030905
f2_high_debt_flag,5.335949088598993
f2_profit_ocf_diverge,5.001483690420956
f2_neg_pe_flag,3.0037318936726183
gov_top10_holder_count,1.0008674630884007
