feature,importance_ensemble
announcement_semantic_000,289.3630504144794
f6_last_inquiry_interval_days,237.35571536913912
mkt_volume_ratio_20d,200.00458742472208
mkt_volatility_60d,197.33773156838527
mkt_return_5d,194.00466852131754
sent_read_count_30d,193.3466056189691
mkt_volume_cv_20d,187.67059170877576
announcement_semantic_001,181.00503924609453
announcement_semantic_002,179.00667425391296
mkt_excess_return_20d,176.67120409307964
announcement_semantic_003,176.67075561753006
mkt_pe_ratio,175.67415936624434
mkt_max_drawdown_60d,174.00469171919147
sent_guba_negative_ratio_30d,173.00692954839852
announcement_semantic_045,172.6718855603356
f6_first_inquiry_interval_days,171.34642817392498
announcement_semantic_029,171.33716473067955
mkt_pe_change_qoq,169.0046908220578
announcement_semantic_009,168.3372709271467
sent_post_daily_peak_30d,167.67274853402498
sent_guba_positive_ratio_30d,167.34145184705622
announcement_semantic_041,167.33694652757677
announcement_semantic_039,166.00411396681943
mkt_pb_ratio,165.33774629826505
mkt_days_since_last_risk_warning,164.67373950335502
mkt_volatility_20d,163.67123845478764
mkt_institutional_holding_change,162.33759438649085
sent_guba_sentiment_volatility_30d,159.67297602344988
announcement_semantic_006,159.6711155556505
mkt_return_20d,159.33828321586566
announcement_semantic_011,155.00353991949592
sent_guba_sentiment_mean_30d,154.67073794817856
mkt_cap_industry_zscore,154.00428511122814
mkt_institutional_holding_ratio,152.67142652312057
announcement_semantic_036,152.67001954707928
announcement_semantic_048,152.00401597686
announcement_semantic_047,151.3369225143459
announcement_semantic_028,149.33697842967834
announcement_semantic_018,149.00396502975164
announcement_semantic_026,148.0033824796491
announcement_semantic_032,147.33717706136815
announcement_semantic_007,147.004415794453
announcement_semantic_035,146.33679034437344
mkt_institutional_holder_count,145.67943111033685
announcement_semantic_030,144.67006121241565
announcement_semantic_016,144.33731566062366
mkt_pb_industry_zscore,144.33648745513105
gov_top10_holder_ratio,144.00526161972383
announcement_semantic_023,143.67091734938617
mkt_market_cap_qoq,143.67021479988216
announcement_semantic_027,142.67036765676343
announcement_semantic_005,142.33755395505017
mkt_pb_change_qoq,142.3371147921259
announcement_semantic_040,142.33652005930128
announcement_semantic_017,142.00704147626536
announcement_semantic_024,142.00417429744314
announcement_semantic_010,142.00390160902015
announcement_semantic_008,142.00359585326626
announcement_semantic_049,142.00357046376084
announcement_semantic_031,141.3375089736523
announcement_semantic_044,141.33713521970606
announcement_semantic_012,141.00429310926907
announcement_semantic_025,140.3373433969197
sent_sentiment_mean_30d,139.67012708363416
sent_post_count_5d,139.33990813338815
announcement_semantic_013,138.3384261242582
gov_top1_holder_ratio,138.0045079529522
announcement_semantic_014,134.67063741310307
announcement_semantic_038,134.33751348827556
announcement_semantic_043,134.00357406932287
announcement_semantic_037,133.33678677132562
announcement_semantic_042,132.33673379990634
announcement_semantic_033,131.0031934251568
announcement_semantic_021,130.67091774253998
announcement_semantic_015,129.67052933457168
announcement_semantic_022,129.3366752876075
sent_sentiment_volatility_30d,128.66984093936193
announcement_semantic_004,127.67087154824499
gov_top1_top2_gap,126.67100054702564
announcement_semantic_019,125.67093798309344
mkt_return_60d,125.33722597064501
announcement_semantic_034,125.00376538270417
gov_top1_top10_ratio,124.33720251346848
mkt_amihud_illiquidity_20d,124.33717481708
mkt_market_cap,121.67070137782275
announcement_semantic_046,119.6702900412963
announcement_semantic_020,119.33689960413095
gov_independent_director_ratio,118.66929292812743
sent_post_count_30d,113.340157426421
mkt_financing_balance,99.00553263977814
f6_avg_inquiry_interval_days,98.34158209976563
mkt_financing_balance_change,97.67008601824459
mkt_securities_balance,97.66989289767356
f6_inquiry_count_24m,83.36708275374443
sent_news_title_count_30d,83.33636524016698
f6_inquiry_interval_cv,78.67806644525807
sent_news_count_30d,74.33630035697736
gov_board_size,72.33559091837127
sent_negative_ratio_30d,71.66961077869651
sent_news_count_10d,64.33657304935242
f6_inquiry_count_12m,51.68669929203631
sent_news_count_5d,51.00248543866721
gov_nonstandard_audit_opinion,50.34734312983795
f6_attention_letter_count,46.342087749873
f2_trend_deterioration,44.66932012731113
sent_news_daily_peak_30d,42.66918368417701
sent_negative_news_count_30d,42.00246412739197
f6_annual_report_inquiry_count,40.67624364955936
gov_independent_director_count,40.00205438333719
f6_inquiry_count_60m,32.34650386429872
mkt_extreme_down_days_20d,23.00303063324316
f2_benford_flag,20.003288713332953
mkt_risk_warning_count_90d,15.670345703027664
f2_loss_flag,14.006875481492235
sent_negative_peak_30d,13.002294925723007
gov_auditor_change,12.668970770920046
f2_industry_outlier_count,10.003145796884464
f2_p_roa,9.674648880510519
f6_unreplied_count,9.670946047313603
f2_profit_ocf_diverge,9.669063087689562
mkt_abnormal_volume_days_20d,9.334987452818911
mkt_risk_warning_count_30d,7.0023505970312625
f2_ocf_to_profit_extreme,7.001647882153452
f2_neg_pe_flag,6.004577555628271
f6_restructuring_inquiry_count,6.003266992979157
